well_id,source,n_grid,washout_flagged,no_bitsize,washout_interval_m,min_interval_pass,n_curves_meeting,drop_reason,dedup_hash,present,missing_GR,missing_RHOB,missing_NPHI,missing_DTC,missing_PEF,missing_SP,missing_CALI,missing_RDEP,missing_RMED,missing_RSHA,missing_DTS,hampel_GR,hampel_RHOB,hampel_NPHI,hampel_PEF,hampel_CALI,hampel_RSHA,suspect_m_RHOB,suspect_m_NPHI,suspect_m_PEF,hampel_DTC,hampel_DTS,hampel_RDEP,hampel_SP,hampel_RMED
L15-FA-106-S1,nlog,2315,False,True,0.0,False,2,only 2 curves >= 100 m (need 3),eb2dd03e88bf8aea,"GR,RDEP",0.0022,1.0,1.0,1.0,1.0,1.0,1.0,0.3482,1.0,1.0,1.0,0.03983,,,,,,0.0,0.0,0.0,,,0.05169,,
L16-05,nlog,14679,False,True,0.0,False,2,only 2 curves >= 100 m (need 3),2ec7ce2e4a9c46c2,"RHOB,DTC",1.0,0.5438,1.0,0.0147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.03419,,,,,0.0,0.0,0.0,0.03519,,,,
L16-06,nlog,2228772,True,False,149.66,True,5,,a83b579b94f217bb,"GR,RHOB,NPHI,PEF,CALI",0.9995,0.9995,0.9995,1.0,0.9995,1.0,0.9995,1.0,1.0,1.0,1.0,0.04107,0.03156,0.02705,0.02878,0.04603,,149.5,149.7,149.7,,,,,
L16-08,nlog,23255,False,True,0.0,True,4,,f3f67197c4f3506a,"GR,RHOB,NPHI,DTC",0.002,0.2676,0.8219,0.09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02939,0.03546,0.03428,,,,0.0,0.0,0.0,0.03473,,,,
L16-10,nlog,25078,False,True,0.0,True,6,,ab469bbba4ebdc93,"GR,RHOB,NPHI,DTC,CALI,RDEP",0.0024,0.7939,0.8001,0.1114,1.0,1.0,0.4935,0.1073,1.0,1.0,1.0,0.03138,0.05146,0.03531,,0.02259,,0.0,0.0,0.0,0.04003,,0.01684,,
L16-11,nlog,23184,False,True,0.0,True,5,,d29f1084ab803ba8,"GR,RHOB,NPHI,DTC,CALI",0.2649,0.2649,0.8617,0.2649,1.0,1.0,0.2649,1.0,1.0,1.0,1.0,0.02242,0.02611,0.0527,,0.00657,,0.0,0.0,0.0,0.04295,,,,
L16-07,nlog,13392,True,False,457.5,True,8,,42c8065a3a2d417b,"GR,RHOB,NPHI,DTC,CALI,RDEP,RMED,RSHA",0.2414,0.6089,0.6081,0.9185,1.0,1.0,0.6089,0.2379,0.2379,0.2379,1.0,0.01723,0.0233,0.01905,,0.03799,0.02479,457.5,457.5,0.0,0.06502,,0.04762,,0.04184
L16-09,nlog,36073,True,False,331.32,True,5,,1bd0f79f64dacca5,"GR,RHOB,NPHI,PEF,CALI",0.6952,0.6952,0.6952,1.0,0.7066,1.0,0.6952,1.0,1.0,1.0,1.0,0.01937,0.02001,0.01673,0.01833,0.00673,,331.3,331.3,331.3,,,,,
L16-12,nlog,23176,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),ec5715d58904e9c6,GR,0.0163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02255,,,,,,0.0,0.0,0.0,,,,,
L16-13,nlog,1115,False,True,0.0,False,2,only 2 curves >= 100 m (need 3),b5fa4ac22249c842,"GR,RDEP",0.1552,1.0,1.0,1.0,1.0,1.0,1.0,0.0664,1.0,1.0,1.0,0.02866,,,,,,0.0,0.0,0.0,,,0.03554,,
L16-14,nlog,11402,True,False,25.3,False,2,only 2 curves >= 100 m (need 3),feafbfbbf07995fb,"GR,CALI",0.0156,1.0,1.0,1.0,1.0,1.0,0.0218,1.0,1.0,1.0,1.0,0.03689,,,,0.03174,,0.0,0.0,0.0,,,,,
L16-16A,nlog,3679,False,True,0.0,True,4,,8500fdb13c6765a3,"GR,RHOB,NPHI,PEF",0.009,0.0111,0.0179,1.0,0.112,1.0,1.0,1.0,1.0,1.0,1.0,0.03538,0.02996,0.01633,0.03642,,,0.0,0.0,0.0,,,,,
L16-LOGGER-01,nlog,14206,True,False,216.1,True,9,,747a72baad80179b,"GR,RHOB,NPHI,DTC,PEF,SP,CALI,RDEP,RMED",0.8256,0.8275,0.8307,0.9207,0.8275,0.4377,0.8275,0.4366,0.4366,1.0,1.0,0.02382,0.02898,0.03243,0.02122,0.06204,,216.1,215.2,216.1,0.01863,,0.0526,0.06973,0.03586
L16-LOGGER-02,nlog,27700,False,True,0.0,True,5,,6bdb8427af23f846,"GR,DTC,SP,RDEP,RMED,RSHA",0.6952,1.0,1.0,0.6958,1.0,0.9889,1.0,0.7058,0.704,0.6952,1.0,0.01942,,,,,0.00024,0.0,0.0,0.0,0.02872,,0.02761,0.01954,0.02952
L16-LOGGER-03,nlog,25627,False,True,0.0,True,5,,1d0b7c5fad1464d4,"GR,DTC,SP,RDEP,RMED,RSHA",0.6952,1.0,1.0,0.6968,1.0,0.9943,1.0,0.7013,0.6989,0.6952,1.0,0.01767,,,,,0.00013,0.0,0.0,0.0,0.02549,,0.029,0.08163,0.03499
