well_id,source,n_grid,washout_flagged,no_bitsize,washout_interval_m,min_interval_pass,n_curves_meeting,drop_reason,dedup_hash,present,missing_GR,missing_RHOB,missing_NPHI,missing_DTC,missing_PEF,missing_SP,missing_CALI,missing_RDEP,missing_RMED,missing_RSHA,missing_DTS,hampel_GR,suspect_m_RHOB,suspect_m_NPHI,suspect_m_PEF,hampel_RHOB,hampel_NPHI,hampel_PEF,hampel_CALI,hampel_SP,hampel_RDEP,hampel_RMED,hampel_DTC,hampel_RSHA,hampel_DTS
1055385497,kgs,2143,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),e2a9acf250000b15,"GR,NPHI",0.007,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05404,0.0,0.0,0.0,,0.0,,,,,,,,
1055385498,kgs,2063,False,True,0.0,True,7,,1dc8417a806a79ef,"GR,RHOB,NPHI,SP,CALI,RDEP,RMED",0.0058,0.0,0.0,1.0,1.0,0.5599,0.0005,0.0039,0.0019,1.0,1.0,0.04144,0.0,0.0,0.0,0.02327,0.01454,,0.0,0.02974,0.00633,0.01748,,,
1055385499,kgs,1823,False,True,0.0,True,6,,b88c2ece375e439f,"GR,RHOB,NPHI,CALI,RDEP,RMED",0.0077,0.0077,0.0598,1.0,1.0,1.0,0.0121,0.0675,0.0675,1.0,1.0,0.02819,0.0,0.0,0.0,0.00608,0.02567,,0.00111,,0.00706,0.01059,,,
1055385500,kgs,1339,False,True,0.0,True,7,,0b79d2008d08326a,"GR,RHOB,NPHI,SP,CALI,RDEP,RMED",0.0127,0.0,0.0,1.0,1.0,0.3943,0.0,0.006,0.0037,1.0,1.0,0.02874,0.0,0.0,0.0,0.0112,0.00971,,0.0,0.0037,0.01127,0.00975,,,
1055385501,kgs,2356,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),6ffe84da488a2a08,"GR,NPHI",0.0166,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03841,0.0,0.0,0.0,,0.0,,,,,,,,
1055385502,kgs,1344,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),60d4ebb01dcab324,"GR,NPHI",0.0104,1.0,0.9993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03985,0.0,0.0,0.0,,0.0,,,,,,,,
1055385503,kgs,1458,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),01226656faa432d9,"GR,NPHI",0.013,1.0,0.9993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04309,0.0,0.0,0.0,,0.0,,,,,,,,
1055385504,kgs,1448,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),ef1d6691c2182088,"GR,NPHI",0.0131,1.0,0.9993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05108,0.0,0.0,0.0,,0.0,,,,,,,,
1055385505,kgs,874,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),7645ee06a9ce41b7,"GR,NPHI",0.0149,1.0,0.9989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03252,0.0,0.0,0.0,,0.0,,,,,,,,
1055385506,kgs,1101,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),4d2516542ce63739,"GR,NPHI",0.0136,1.0,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05249,0.0,0.0,0.0,,0.0,,,,,,,,
1055385507,kgs,1041,False,True,0.0,True,7,,ee9ffbaba7ddb328,"GR,RHOB,NPHI,SP,CALI,RDEP,RMED",0.0211,0.0,0.0029,1.0,1.0,0.0279,0.0038,0.0096,0.0067,1.0,1.0,0.03729,0.0,0.0,0.0,0.01921,0.03179,,0.00096,0.05237,0.03589,0.02224,,,
1055385508,kgs,952,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),47f6467eeac82cbb,"GR,NPHI",0.0147,1.0,0.9989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05011,0.0,0.0,0.0,,0.0,,,,,,,,
1055385509,kgs,939,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),ada1461659693b77,"GR,NPHI",0.0149,1.0,0.9989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05081,0.0,0.0,0.0,,0.0,,,,,,,,
1055385510,kgs,1618,False,True,0.0,True,7,,996b0090ee05d07f,"GR,RHOB,NPHI,SP,CALI,RDEP,RMED",0.0117,0.0,0.0056,1.0,1.0,0.0266,0.0056,0.0111,0.0124,1.0,1.0,0.0419,0.0,0.0,0.0,0.02596,0.03294,,0.00062,0.02349,0.02875,0.02941,,,
1055385511,kgs,1834,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),e1361d5908020c7e,GR,0.0093,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02862,0.0,0.0,0.0,,,,,,,,,,
1055385512,kgs,5365,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),dd7f57ff2a520a72,"GR,NPHI",0.3616,1.0,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03737,0.0,0.0,0.0,,0.0,,,,,,,,
