well_id,cov_m_GR,cov_m_RHOB,cov_m_NPHI,cov_m_DTC,cov_m_PEF,cov_m_SP,cov_m_CALI,cov_m_RDEP,cov_m_RMED,cov_m_RSHA,cov_m_DTS
AST-GT-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AST-GT-02-S2,1441.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-101,450.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-101-S2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-101-S3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-101-S4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-102,4372.5,2038.8,2053.4,3004.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-103-S2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-104-S2,2309.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-105,1525.8,0.0,0.0,1483.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-106,4229.6,0.0,0.0,0.0,0.0,0.0,232.1,0.0,0.0,229.2,0.0
AWG-106-S1,576.1,0.0,0.0,493.9,0.0,0.0,0.0,0.0,0.0,0.0,576.1
AWG-107,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-108,3330.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-108-S1,1135.2,1151.4,1140.0,0.0,1128.4,0.0,0.0,1147.0,1150.0,0.0,0.0
AWG-109,196.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-109-S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B10-02,1396.6,0.0,0.0,1068.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B10-02-S1,3928.4,1814.6,1811.0,3546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B10-03,124.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B10-03-S1,673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B13-01,2789.1,535.1,0.0,2465.2,0.0,1640.1,1649.3,530.7,1115.9,530.7,0.0
B13-02,2368.0,875.2,875.2,1428.8,0.0,1437.7,867.6,1437.7,0.0,868.1,0.0
B13-03,1113.6,27.1,0.6,1097.7,0.0,0.0,1113.6,1113.6,1113.6,0.0,0.0
B13-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B13-A-01-S1,0.0,1277.1,1252.4,0.0,1277.1,0.0,0.0,0.0,0.0,0.0,0.0
B13-A-01-S2,73.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B13-A-02,573.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B13-A-02-S1,745.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B13-A-03,573.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B13-A-04,763.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B13-A-04-S1,520.9,519.7,224.0,0.0,519.7,0.0,0.0,0.0,0.0,0.0,0.0
B14-01,2516.7,2051.5,788.4,2051.9,0.0,2058.0,2050.4,1653.4,0.0,391.2,0.0
B14-02,2514.1,2550.0,0.0,2550.1,0.0,0.0,1518.5,0.0,0.0,0.0,0.0
B14-03,1517.3,263.0,0.0,1517.3,0.0,0.0,1517.3,0.0,0.0,0.0,0.0
B16-01,912.4,0.0,0.0,908.5,0.0,912.4,887.9,912.4,0.0,912.4,379.9
B17-01,1698.2,361.8,62.0,1460.6,0.0,1324.7,1454.4,1320.1,0.0,0.0,0.0
B17-02,3715.5,586.3,0.0,3416.5,0.0,2414.6,0.0,2409.6,0.0,0.0,0.0
B17-03,1278.2,197.4,197.4,987.9,0.0,182.9,988.6,193.9,0.0,193.9,0.0
B17-04,4610.3,3361.3,3355.5,4149.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B17-05,979.0,985.3,714.5,929.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B17-06,759.0,317.8,313.6,695.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B18-02,2616.3,2301.2,526.2,2294.8,0.0,1733.1,2301.2,2204.6,0.0,2204.6,0.0
B18-03,2908.7,2383.1,1074.9,2360.2,0.0,0.0,2383.1,2380.0,0.0,0.0,0.0
B18-06,1674.7,215.5,211.7,225.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAC-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAR-NE-01,1597.9,816.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAS-01,1483.8,1483.8,1478.4,1482.9,1468.5,0.0,1360.3,0.0,0.0,0.0,0.0
BAS-03,1577.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAS-03-S1,1463.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAS-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDK-01,0.0,0.0,0.0,0.0,0.0,1158.8,1157.3,0.0,0.0,0.0,0.0
BDK-01-S2,0.0,0.0,0.0,2942.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDK-01-S3,0.0,0.0,0.0,3007.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDM-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDM-02,3154.5,1212.3,498.8,1543.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDM-03,4353.2,803.9,801.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
