well_id,borehole_name,uwi,nitg_number,mapviewer_id,public_as_of,on_offshore,lon,lat,detail_url
L10-24,L10-24,7303,BL100125,106525317,1993-01-15,OFF,4.31028308,53.39847506,https://www.nlog.nl/nlog-mapviewer/brh/106525317
L10-25,L10-25,7550,BL100126,106526771,1993-05-28,OFF,4.19388966,53.4094312,https://www.nlog.nl/nlog-mapviewer/brh/106526771
L10-26,L10-26,7549,BL100127,106526766,1994-03-31,OFF,4.06781997,53.43050928,https://www.nlog.nl/nlog-mapviewer/brh/106526766
L10-27,L10-27,7721,BL100128,106527787,1996-09-05,OFF,4.03954877,53.41553105,https://www.nlog.nl/nlog-mapviewer/brh/106527787
L10-29,L10-29,7806,BL100129,106528219,1998-06-18,OFF,4.05894216,53.4947707,https://www.nlog.nl/nlog-mapviewer/brh/106528219
L15-FA-103,L15-FA-103,8816,BL150319,228754228,2002-11-06,OFF,4.83074563,53.32956856,https://www.nlog.nl/nlog-mapviewer/brh/228754228
L15-FA-103-S1,L15-FA-103-SIDETRACK1,8817,BL150320,228754243,2002-11-15,OFF,4.83074563,53.32956856,https://www.nlog.nl/nlog-mapviewer/brh/228754243
L15-FA-103-S2,L15-FA-103-SIDETRACK2,8818,BL150321,228754254,2002-12-12,OFF,4.83074563,53.32956856,https://www.nlog.nl/nlog-mapviewer/brh/228754254
L15-FA-103-S3,L15-FA-103-SIDETRACK3,8819,BL150322,228754262,2002-12-27,OFF,4.83074563,53.32956856,https://www.nlog.nl/nlog-mapviewer/brh/228754262
L15-FA-103-S4,L15-FA-103-SIDETRACK4,8820,BL150323,228754269,2003-01-19,OFF,4.83074563,53.32956856,https://www.nlog.nl/nlog-mapviewer/brh/228754269
L15-FA-103-S5,L15-FA-103-SIDETRACK5,8119,BL150306,106529900,2003-02-09,OFF,4.83074563,53.32956856,https://www.nlog.nl/nlog-mapviewer/brh/106529900
L15-FA-104,L15-FA-104,8171,BL150307,106530170,2004-06-12,OFF,4.83074563,53.32956856,https://www.nlog.nl/nlog-mapviewer/brh/106530170
L15-FA-106,L15-FA-106,8488,BL150308,106531668,2010-09-09,OFF,4.83074563,53.32956856,https://www.nlog.nl/nlog-mapviewer/brh/106531668
L15-FA-106-S1,L15-FA-106-SIDETRACK1,8500,BL150309,106531671,2010-12-12,OFF,4.83074563,53.32956856,https://www.nlog.nl/nlog-mapviewer/brh/106531671
L16-01,L16-01,7378,BL160164,106525744,1983-03-20,OFF,4.18680223,53.075216,https://www.nlog.nl/nlog-mapviewer/brh/106525744
L16-02,L16-02,7379,BL160165,106525749,1987-04-04,OFF,4.00397577,53.05682514,https://www.nlog.nl/nlog-mapviewer/brh/106525749
